,k,pk
76,90.0,5.0707367780538514e-05
77,91.0,3.380491185369234e-05
78,92.0,8.451227963423086e-05
79,93.0,3.380491185369234e-05
80,94.0,6.760982370738469e-05
81,95.0,3.380491185369234e-05
82,96.0,1.690245592684617e-05
83,97.0,5.0707367780538514e-05
84,99.0,1.690245592684617e-05
85,100.0,3.380491185369234e-05
86,102.0,1.690245592684617e-05
87,103.0,1.690245592684617e-05
88,105.0,1.690245592684617e-05
89,109.0,8.451227963423086e-05
90,110.0,6.760982370738469e-05
91,111.0,3.380491185369234e-05
92,112.0,3.380491185369234e-05
93,113.0,3.380491185369234e-05
94,115.0,8.451227963423086e-05
95,118.0,1.690245592684617e-05
96,119.0,3.380491185369234e-05
97,120.0,1.690245592684617e-05
98,122.0,3.380491185369234e-05
99,123.0,1.690245592684617e-05
100,125.0,1.690245592684617e-05
101,126.0,1.690245592684617e-05
102,127.0,1.690245592684617e-05
103,128.0,1.690245592684617e-05
104,129.0,1.690245592684617e-05
105,131.0,1.690245592684617e-05
106,132.0,1.690245592684617e-05
107,138.0,1.690245592684617e-05
108,140.0,1.690245592684617e-05
109,141.0,1.690245592684617e-05
110,154.0,1.690245592684617e-05
0,0.0,0.8485308760737853
1,1.0,0.12105716166270063
2,2.0,0.021230992523585304
3,3.0,0.0036791386090155773
4,4.0,0.0005569338261353856
5,5.0,0.0001012606956609792
6,6.0,1.6876782610163197e-05
7,7.0,3.3753565220326394e-05
8,8.0,1.6876782610163197e-05
9,13.0,1.6876782610163197e-05
10,14.0,1.6876782610163197e-05
11,15.0,3.3753565220326394e-05
12,17.0,3.3753565220326394e-05
13,19.0,1.6876782610163197e-05
14,20.0,1.6876782610163197e-05
15,21.0,1.6876782610163197e-05
16,22.0,1.6876782610163197e-05
17,23.0,1.6876782610163197e-05
18,27.0,1.6876782610163197e-05
19,28.0,8.438391305081599e-05
20,29.0,1.6876782610163197e-05
21,30.0,6.750713044065279e-05
22,31.0,3.3753565220326394e-05
23,32.0,1.6876782610163197e-05
24,33.0,1.6876782610163197e-05
25,34.0,3.3753565220326394e-05
26,36.0,5.06303478304896e-05
27,37.0,3.3753565220326394e-05
28,38.0,8.438391305081599e-05
29,39.0,8.438391305081599e-05
30,40.0,6.750713044065279e-05
31,41.0,6.750713044065279e-05
32,42.0,5.06303478304896e-05
33,43.0,3.3753565220326394e-05
34,44.0,1.6876782610163197e-05
35,45.0,8.438391305081599e-05
36,46.0,5.06303478304896e-05
37,47.0,8.438391305081599e-05
38,48.0,6.750713044065279e-05
39,49.0,5.06303478304896e-05
40,50.0,8.438391305081599e-05
41,51.0,8.438391305081599e-05
42,52.0,5.06303478304896e-05
43,53.0,6.750713044065279e-05
44,54.0,6.750713044065279e-05
45,55.0,0.00011813747827114239
46,56.0,8.438391305081599e-05
47,57.0,8.438391305081599e-05
48,58.0,1.6876782610163197e-05
49,59.0,6.750713044065279e-05
50,60.0,6.750713044065279e-05
51,61.0,0.0001012606956609792
52,62.0,6.750713044065279e-05
53,63.0,0.00011813747827114239
54,64.0,0.0001012606956609792
55,65.0,5.06303478304896e-05
56,66.0,1.6876782610163197e-05
57,67.0,5.06303478304896e-05
58,68.0,6.750713044065279e-05
59,69.0,3.3753565220326394e-05
60,70.0,5.06303478304896e-05
61,71.0,1.6876782610163197e-05
62,72.0,5.06303478304896e-05
63,73.0,3.3753565220326394e-05
64,74.0,5.06303478304896e-05
65,75.0,1.6876782610163197e-05
66,76.0,5.06303478304896e-05
67,77.0,1.6876782610163197e-05
68,78.0,6.750713044065279e-05
69,79.0,3.3753565220326394e-05
70,80.0,3.3753565220326394e-05
71,81.0,0.0001012606956609792
72,82.0,8.438391305081599e-05
73,83.0,6.750713044065279e-05
74,84.0,1.6876782610163197e-05
75,85.0,6.750713044065279e-05
76,86.0,3.3753565220326394e-05
77,87.0,0.0001012606956609792
78,88.0,5.06303478304896e-05
79,89.0,3.3753565220326394e-05
80,90.0,5.06303478304896e-05
81,91.0,5.06303478304896e-05
82,92.0,3.3753565220326394e-05
83,93.0,0.0001012606956609792
84,95.0,3.3753565220326394e-05
85,96.0,3.3753565220326394e-05
86,98.0,5.06303478304896e-05
87,99.0,5.06303478304896e-05
88,100.0,3.3753565220326394e-05
89,101.0,1.6876782610163197e-05
90,103.0,8.438391305081599e-05
91,105.0,1.6876782610163197e-05
92,106.0,1.6876782610163197e-05
93,107.0,5.06303478304896e-05
94,108.0,3.3753565220326394e-05
95,110.0,1.6876782610163197e-05
96,112.0,1.6876782610163197e-05
97,113.0,3.3753565220326394e-05
98,114.0,3.3753565220326394e-05
99,115.0,5.06303478304896e-05
100,117.0,3.3753565220326394e-05
101,118.0,1.6876782610163197e-05
102,121.0,5.06303478304896e-05
103,123.0,3.3753565220326394e-05
104,125.0,1.6876782610163197e-05
105,128.0,1.6876782610163197e-05
106,130.0,3.3753565220326394e-05
107,131.0,1.6876782610163197e-05
108,137.0,1.6876782610163197e-05
109,142.0,1.6876782610163197e-05
110,147.0,1.6876782610163197e-05
111,148.0,1.6876782610163197e-05
0,0.0,0.8505316455696202
1,1.0,0.12028691983122362
