year,overall_rating,player_name,z
2011,75.0,Cristian Llama,1.0574079516313457
2011,76.0,Marco Ruben,1.1934711504759021
2012,75.0,Marco Ruben,1.0574079516313457
2013,75.0,Marco Ruben,1.0574079516313457
2016,76.0,Marco Ruben,1.1934711504759021
2015,77.0,Gustavo Cabral,1.3295343493204588
2016,77.0,Gustavo Cabral,1.3295343493204588
2008,75.0,Jesus Datolo,1.0574079516313457
2010,75.5,Jesus Datolo,1.125439551053624
2011,76.0,Jesus Datolo,1.1934711504759021
2014,77.0,Jesus Datolo,1.3295343493204588
2015,77.0,Jesus Datolo,1.3295343493204588
2016,77.0,Jesus Datolo,1.3295343493204588
2007,77.0,Pablo Barrientos,1.3295343493204588
2009,77.0,Pablo Barrientos,1.3295343493204588
2012,75.0,Pablo Barrientos,1.0574079516313457
2013,78.375,Pablo Barrientos,1.516621247731724
2014,74.8,Pablo Barrientos,1.0301953118624338
2009,75.5,Dario Cvitanich,1.125439551053624
2013,76.0,Dario Cvitanich,1.1934711504759021
2014,75.75,Dario Cvitanich,1.1594553507647631
2007,76.5,Fernando Gago,1.2615027498981806
2008,79.0,Fernando Gago,1.601660747009572
2009,78.5,Fernando Gago,1.5336291475872936
2010,78.0,Fernando Gago,1.4655975481650154
2011,77.5,Fernando Gago,1.3975659487427372
2012,78.0,Fernando Gago,1.4655975481650154
2013,79.0,Fernando Gago,1.601660747009572
2014,76.33333333333333,Fernando Gago,1.2388255500907537
2015,75.25,Fernando Gago,1.0914237513424847
2008,76.0,Pablo Martin Ledesma,1.1934711504759021
2009,77.5,Pablo Martin Ledesma,1.3975659487427372
2013,75.0,Ezequiel Scarione,1.0574079516313457
2014,75.4,Ezequiel Scarione,1.111833231169169
2015,74.8,Ezequiel Scarione,1.0301953118624338
2007,78.0,Matias Silvestre,1.4655975481650154
2008,75.0,Matias Silvestre,1.0574079516313457
2009,76.0,Matias Silvestre,1.1934711504759021
2011,77.0,Matias Silvestre,1.3295343493204588
2012,79.0,Matias Silvestre,1.601660747009572
2013,75.54545454545455,Matias Silvestre,1.131624241910195
2007,75.0,Nicolas Federico Spolli,1.0574079516313457
2009,75.0,Nicolas Federico Spolli,1.0574079516313457
2011,77.0,Nicolas Federico Spolli,1.3295343493204588
2012,78.0,Nicolas Federico Spolli,1.4655975481650154
2013,78.33333333333333,Nicolas Federico Spolli,1.510951947779867
2014,74.9,Nicolas Federico Spolli,1.0438016317468908
2013,75.57142857142857,David Abraham,1.135158350971092
2014,76.5,David Abraham,1.2615027498981806
2015,75.14285714285714,David Abraham,1.0768455514662818
2016,75.0,David Abraham,1.0574079516313457
2007,81.0,Ezequiel Lavezzi,1.8737871446986851
2008,80.0,Ezequiel Lavezzi,1.7377239458541285
2009,83.0,Ezequiel Lavezzi,2.1459135423877984
2010,81.5,Ezequiel Lavezzi,1.9418187441209633
2011,83.5,Ezequiel Lavezzi,2.2139451418100764
2012,85.5,Ezequiel Lavezzi,2.4860715394991897
2013,84.66666666666667,Ezequiel Lavezzi,2.3726855404620597
2014,82.57142857142857,Ezequiel Lavezzi,2.087600742882988
2015,79.4,Ezequiel Lavezzi,1.6560860265473953
2016,78.0,Ezequiel Lavezzi,1.4655975481650154
2015,74.66666666666667,Santiago Gentiletti,1.0120535520164942
2016,77.0,Santiago Gentiletti,1.3295343493204588
2008,77.0,Christopher Samba,1.3295343493204588
2009,76.0,Christopher Samba,1.1934711504759021
2010,77.0,Christopher Samba,1.3295343493204588
2011,78.0,Christopher Samba,1.4655975481650154
2012,78.5,Christopher Samba,1.5336291475872936
2013,78.0,Christopher Samba,1.4655975481650154
2014,77.25,Christopher Samba,1.363550149031598
2015,77.33333333333333,Christopher Samba,1.3748887489353103
2016,77.33333333333333,Christopher Samba,1.3748887489353103
2010,75.0,Diego Costa,1.0574079516313457
2011,75.5,Diego Costa,1.125439551053624
2012,76.5,Diego Costa,1.2615027498981806
2013,81.3,Diego Costa,1.9146061043520517
2014,83.83333333333333,Diego Costa,2.259299541424928
2015,85.42857142857143,Diego Costa,2.4763527395817215
2016,85.0,Diego Costa,2.4180399400769113
2011,75.0,Danilo,1.0574079516313457
2012,79.0,Danilo,1.601660747009572
2013,80.0,Danilo,1.7377239458541285
2014,75.44444444444444,Danilo,1.1178804844511483
2015,76.33333333333333,Danilo,1.2388255500907537
2016,78.0,Danilo,1.4655975481650154
2015,75.0,Evandro Goebel,1.0574079516313457
2016,75.0,Evandro Goebel,1.0574079516313457
2008,78.0,Miranda,1.4655975481650154
2009,79.0,Miranda,1.601660747009572
2010,78.0,Miranda,1.4655975481650154
2011,76.0,Miranda,1.1934711504759021
2012,78.0,Miranda,1.4655975481650154
2013,80.25,Miranda,1.7717397455652677
2014,83.0,Miranda,2.1459135423877984
2015,84.0,Miranda,2.281976741232355
2016,85.0,Miranda,2.4180399400769113
2012,81.5,Artur,1.9418187441209633
2013,80.11111111111111,Artur,1.7528420790590797
2014,76.5,Artur,1.2615027498981806
2012,75.5,Jonathan,1.125439551053624
2014,75.85714285714286,Jonathan,1.174033550640966
2008,76.0,Renan,1.1934711504759021
2009,77.0,Renan,1.3295343493204588
2010,76.0,Renan,1.1934711504759021
2008,78.0,Josue,1.4655975481650154
2009,82.0,Josue,2.0098503435432415
2010,80.5,Josue,1.805755545276407
2011,78.0,Josue,1.4655975481650154
2012,75.5,Josue,1.125439551053624
2013,75.0,Josue,1.0574079516313457
2014,75.0,Josue,1.0574079516313457
2010,77.5,Neymar,1.3975659487427372
2011,82.5,Neymar,2.07788194296552
2012,85.0,Neymar,2.4180399400769113
2013,83.42857142857143,Neymar,2.2042263418926087
2014,85.25,Neymar,2.4520557397880505
2015,88.5,Neymar,2.8942611360328594
2016,90.0,Neymar,3.0983559342996942
2014,75.75,Hajime Hosogai,1.1594553507647631
2007,78.0,Koki Mizuno,1.4655975481650154
2009,81.0,Hulk,1.8737871446986851
2010,83.0,Hulk,2.1459135423877984
2011,84.5,Hulk,2.3500083406546333
2012,84.0,Hulk,2.281976741232355
2013,83.2,Hulk,2.17312618215671
2014,83.5,Hulk,2.2139451418100764
2015,83.6,Hulk,2.2275514616945316
2016,84.0,Hulk,2.281976741232355
2009,75.0,Felipe Santana,1.0574079516313457
2010,76.0,Felipe Santana,1.1934711504759021
2011,75.5,Felipe Santana,1.125439551053624
2012,77.0,Felipe Santana,1.3295343493204588
2013,76.5,Felipe Santana,1.2615027498981806
2014,76.0,Felipe Santana,1.1934711504759021
2015,74.8,Felipe Santana,1.0301953118624338
2007,76.0,Michel Bastos,1.1934711504759021
2008,80.0,Michel Bastos,1.7377239458541285
2009,81.0,Michel Bastos,1.8737871446986851
2010,82.0,Michel Bastos,2.0098503435432415
2011,82.0,Michel Bastos,2.0098503435432415
2012,83.0,Michel Bastos,2.1459135423877984
2013,79.83333333333333,Michel Bastos,1.7150467460467018
2014,77.77777777777777,Michel Bastos,1.4353612817551131
2015,78.0,Michel Bastos,1.4655975481650154
2016,78.0,Michel Bastos,1.4655975481650154
2012,75.0,Shinji Okazaki,1.0574079516313457
2013,74.83333333333333,Shinji Okazaki,1.0347307518239188
2014,76.0,Shinji Okazaki,1.1934711504759021
2015,77.33333333333333,Shinji Okazaki,1.3748887489353103
2016,76.5,Shinji Okazaki,1.2615027498981806
2007,75.0,Thiago Neves,1.0574079516313457
2008,79.0,Thiago Neves,1.601660747009572
2009,77.0,Thiago Neves,1.3295343493204588
2011,78.5,Thiago Neves,1.5336291475872936
2012,79.5,Thiago Neves,1.6696923464318503
2013,77.8,Thiago Neves,1.4383849083961038
2014,78.0,Thiago Neves,1.4655975481650154
2015,77.0,Thiago Neves,1.3295343493204588
2009,75.5,Sebastian Leto,1.125439551053624
2010,78.0,Sebastian Leto,1.4655975481650154
2011,75.5,Sebastian Leto,1.125439551053624
2012,75.0,Sebastian Leto,1.0574079516313457
2015,75.66666666666667,Oscar Trejo,1.1481167508610506
2016,77.0,Oscar Trejo,1.3295343493204588
2008,81.0,Hernanes,1.8737871446986851
2009,80.5,Hernanes,1.805755545276407
2010,79.0,Hernanes,1.601660747009572
2011,83.0,Hernanes,2.1459135423877984
2012,83.5,Hernanes,2.2139451418100764
2013,84.0,Hernanes,2.281976741232355
2014,82.27272727272727,Hernanes,2.0469584886826655
2015,80.6,Hernanes,1.8193618651608616
2016,80.0,Hernanes,1.7377239458541285
2015,75.6,Nikola Kalinic,1.1390458709380789
2016,78.0,Nikola Kalinic,1.4655975481650154
2011,75.5,Dudley Campbell,1.125439551053624
2007,79.0,Jose Mari,1.601660747009572
2008,75.0,Jose Mari,1.0574079516313457
2012,75.0,Elkin Soto,1.0574079516313457
2012,75.0,Leandro Castan,1.0574079516313457
2013,78.16666666666667,Leandro Castan,1.488274747972442
2014,81.11111111111111,Leandro Castan,1.8889052779036364
2015,81.33333333333333,Leandro Castan,1.9191415443135367
2016,80.0,Leandro Castan,1.7377239458541285
2008,77.0,Radamel Falcao,1.3295343493204588
2009,78.0,Radamel Falcao,1.4655975481650154
2010,81.0,Radamel Falcao,1.8737871446986851
2011,84.5,Radamel Falcao,2.3500083406546333
2012,86.5,Radamel Falcao,2.6221347383437466
2013,90.0,Radamel Falcao,3.0983559342996942
2014,88.66666666666667,Radamel Falcao,2.9169383358402863
2015,85.625,Radamel Falcao,2.5030794393547593
2016,82.0,Radamel Falcao,2.0098503435432415
2007,75.5,Wason Renteria,1.125439551053624
2007,75.0,Marcinho,1.0574079516313457
2009,75.0,Marcinho,1.0574079516313457
2010,75.0,Marcinho,1.0574079516313457
2011,75.0,Marcinho,1.0574079516313457
2008,75.5,Martin Skrtel,1.125439551053624
2009,81.5,Martin Skrtel,1.9418187441209633
2010,80.5,Martin Skrtel,1.805755545276407
2011,80.0,Martin Skrtel,1.7377239458541285
2012,80.5,Martin Skrtel,1.805755545276407
2013,81.71428571428571,Martin Skrtel,1.9709751438733676
2014,81.0,Martin Skrtel,1.8737871446986851
2015,80.33333333333333,Martin Skrtel,1.78307834546898
2016,77.6,Marek Suchy,1.411172268627192
2010,76.0,Joe Ledley,1.1934711504759021
2007,82.0,Ivan Cordoba,2.0098503435432415
2008,83.0,Ivan Cordoba,2.1459135423877984
2009,83.0,Ivan Cordoba,2.1459135423877984
2010,80.5,Ivan Cordoba,1.805755545276407
2011,79.0,Ivan Cordoba,1.601660747009572
2012,78.0,Ivan Cordoba,1.4655975481650154
2015,77.0,Julian Speroni,1.3295343493204588
2016,76.0,Julian Speroni,1.1934711504759021
2009,76.5,Boaz Myhill,1.2615027498981806
2010,75.5,Boaz Myhill,1.125439551053624
2009,75.0,Robbie Blake,1.0574079516313457
2010,75.0,Robbie Blake,1.0574079516313457
2007,80.0,Dean Ashton,1.7377239458541285
2008,81.0,Dean Ashton,1.8737871446986851
2009,81.0,Dean Ashton,1.8737871446986851
2010,81.0,Dean Ashton,1.8737871446986851
2011,75.0,Marc Janko,1.0574079516313457
2009,75.0,Matt Derbyshire,1.0574079516313457
2010,77.0,Matt Derbyshire,1.3295343493204588
2007,75.0,David Nugent,1.0574079516313457
2015,74.75,Glenn Whelan,1.0233921519202065
2016,76.0,Glenn Whelan,1.1934711504759021
2012,75.0,Chris Brunt,1.0574079516313457
2013,75.0,Chris Brunt,1.0574079516313457
2008,81.0,Gabriel Agbonlahor,1.8737871446986851
2009,82.0,Gabriel Agbonlahor,2.0098503435432415
2010,79.5,Gabriel Agbonlahor,1.6696923464318503
2011,77.5,Gabriel Agbonlahor,1.3975659487427372
2007,76.5,"Patrick Kenny,30",1.2615027498981806
2012,75.5,"Patrick Kenny,30",1.125439551053624
2007,75.5,Phil Jagielka,1.125439551053624
2008,78.0,Phil Jagielka,1.4655975481650154
2009,81.0,Phil Jagielka,1.8737871446986851
2010,79.5,Phil Jagielka,1.6696923464318503
2011,79.5,Phil Jagielka,1.6696923464318503
2012,79.5,Phil Jagielka,1.6696923464318503
2013,80.0,Phil Jagielka,1.7377239458541285
2014,79.75,Phil Jagielka,1.7037081461429895
2015,80.5,Phil Jagielka,1.805755545276407
2007,77.5,Danny Webber,1.3975659487427372
2008,75.0,Nicky Shorey,1.0574079516313457
2007,78.0,Steve Sidwell,1.4655975481650154
2008,77.0,Steve Sidwell,1.3295343493204588
2009,78.0,Steve Sidwell,1.4655975481650154
2010,76.0,Steve Sidwell,1.1934711504759021
2011,75.0,Steve Sidwell,1.0574079516313457
2012,75.0,Steve Sidwell,1.0574079516313457
2013,75.33333333333333,Steve Sidwell,1.1027623512461973
2014,75.0,Steve Sidwell,1.0574079516313457
2007,76.0,Leroy Lita,1.1934711504759021
2007,75.0,Dave Kitson,1.0574079516313457
2008,76.0,Dave Kitson,1.1934711504759021
2007,75.5,Kevin Doyle,1.125439551053624
2008,75.0,Kevin Doyle,1.0574079516313457
2009,75.0,Kevin Doyle,1.0574079516313457
2010,75.5,Kevin Doyle,1.125439551053624
2011,77.0,Kevin Doyle,1.3295343493204588
2012,77.0,Kevin Doyle,1.3295343493204588
2012,75.0,Shane Long,1.0574079516313457
2014,74.81818181818181,Shane Long,1.032669188205062
2015,75.66666666666667,Shane Long,1.1481167508610506
2012,75.0,Nathan Dyer,1.0574079516313457
2013,75.0,Nathan Dyer,1.0574079516313457
2015,76.0,Nathan Dyer,1.1934711504759021
2016,76.0,Nathan Dyer,1.1934711504759021
2007,75.0,Michael Duberry,1.0574079516313457
2008,75.0,Marlon King,1.0574079516313457
2008,83.0,Ashley Young,2.1459135423877984
2009,84.0,Ashley Young,2.281976741232355
2010,83.5,Ashley Young,2.2139451418100764
2011,83.5,Ashley Young,2.2139451418100764
2012,82.5,Ashley Young,2.07788194296552
2013,81.0,Ashley Young,1.8737871446986851
2014,79.0,Ashley Young,1.601660747009572
2015,79.33333333333333,Ashley Young,1.6470151466244236
2016,79.0,Ashley Young,1.601660747009572
2011,75.5,Matt Jarvis,1.125439551053624
2012,76.5,Matt Jarvis,1.2615027498981806
2013,76.5,Matt Jarvis,1.2615027498981806
2014,76.0,Matt Jarvis,1.1934711504759021
2015,74.66666666666667,Matt Jarvis,1.0120535520164942
2016,76.0,Wes Morgan,1.1934711504759021
